edgeId,bucket,relationship,confidence,method,verdict,reason,suggested_rel,suggested_conf
69f56b28e3438157751abfee,assumes|mid,assumes,p,note-citation,borderline,"Both discuss unitarity in scattering amplitudes, but source only mentions unitarity as emergent; target defines S-matrix unitarity formally",uses_definition,k
69f56b28e3438157751ac0e3,assumes|high,assumes,u,note-citation,borderline,"Source discusses boundary propagators and BCFW shifts; target defines X_ij propagators. Related but target is very fragmentary.",uses_definition,p
69f56b28e3438157751ac236,proves|high,proves,s,note-citation,wrong,"Source discusses Gaussian integrals and Wick's theorem; target discusses kinematic mesh variables in massive amplitudes. No proof relationship.",,
69f56b28e3438157751ac0b9,proves|high,proves,s,note-citation,borderline,"Both discuss shifted kinematics and X variables under BCFW-like shifts, but source restates rather than proves target",annotates,o
69f56b28e3438157751ac0dc,proves|high,proves,s,note-citation,borderline,"Both discuss zero conditions on amplitudes, but source proves equivalence of 1-zero for B vs B_i, not the target's physical zero conditions",annotates,n
69f56b28e3438157751ac16d,proves|mid,proves,r,note-citation,wrong,"Target is about momentum shifts and kinematic invariants in a different context; it does not prove the gluon zeros statement.",,
69f56b28e3438157751abfab,proves|mid,proves,r,note-citation,borderline,"Source discusses proof of 1-zero condition equivalence; target is a specific step in the same topic but source doesnt derive target's claim",annotates,o
69f56b28e3438157751abf0f,proves|mid,proves,r,note-citation,wrong,"Source is basic QFT perturbation theory diagrams; target is about enhanced UV scaling in advanced amplitude theory. No proof relationship.",,
69dd8e0a80828aabae2d1458,uses_definition|high,uses_definition,z,canonical-lookup,borderline,"Both discuss zeros/factorizations of amplitudes but source doesnt invoke a definition from target; relation is more like extends or annotates",extends,p
69dd8e3f80828aabae2d194c,uses_definition|high,uses_definition,z,canonical-lookup,borderline,"Source defines c_{i,j} = -2p_i·p_j; target merely references c_{i,j} without invoking that definition explicitly",,r
69dd8e3a80828aabae2d18d8,uses_definition|high,uses_definition,z,canonical-lookup,borderline,"Both discuss hidden zeros in amplitudes but source doesnt invoke a definition from target; relation is more like extends or annotates",extends,p
69dd8e3580828aabae2d1850,uses_definition|high,uses_definition,z,canonical-lookup,borderline,"Both mention NLSM but source uses it as known concept in amplitude arguments; target defines mNLSM Lagrangian - tangential link",,k
69dd8e3480828aabae2d1840,uses_definition|high,uses_definition,z,canonical-lookup,correct,"Source analyzes Mandelstam variables at a 6-point vertex; target defines massive planar variables as propagator denominators - valid uses_definition",,u
69dd8e1080828aabae2d14f4,uses_definition|high,uses_definition,z,canonical-lookup,correct,"Source uses the splitting K_i=(k_i,varsigma_i) and E_i=(theta_i,0) definitions established in the target chunk",,
69dd8e0480828aabae2d13d0,uses_definition|high,uses_definition,z,canonical-lookup,borderline,"Source references [9] which is the target paper, but the target chunk is a narrow technical detail, not a definition being used",annotates,p
